ID State,State,Year,"Prescriptions per 1,000 Enrollees"
1,Alabama,2017,1803
2,Alaska,2017,1233
4,Arizona,2017,1372
5,Arkansas,2017,1741
6,California,2017,1232
8,Colorado,2017,1222
9,Connecticut,2017,1363
10,Delaware,2017,1307
11,District of Columbia,2017,1491
12,Florida,2017,1555
13,Georgia,2017,1579
15,Hawaii,2017,1030
16,Idaho,2017,1267
17,Illinois,2017,1408
18,Indiana,2017,1661
19,Iowa,2017,1553
20,Kansas,2017,1695
21,Kentucky,2017,1896
22,Louisiana,2017,1728
23,Maine,2017,1165
24,Maryland,2017,1406
25,Massachusetts,2017,1363
26,Michigan,2017,1396
27,Minnesota,2017,1285
28,Mississippi,2017,1864
29,Missouri,2017,1623
30,Montana,2017,1163
31,Nebraska,2017,1641
32,Nevada,2017,1265
33,New Hampshire,2017,1275
34,New Jersey,2017,1410
35,New Mexico,2017,1141
36,New York,2017,1408
37,North Carolina,2017,1572
38,North Dakota,2017,1561
39,Ohio,2017,1566
40,Oklahoma,2017,1653
41,Oregon,2017,1090
42,Pennsylvania,2017,1484
44,Rhode Island,2017,1317
45,South Carolina,2017,1500
46,South Dakota,2017,1581
47,Tennessee,2017,1836
48,Texas,2017,1594
49,Utah,2017,1439
50,Vermont,2017,1067
51,Virginia,2017,1505
53,Washington,2017,1144
54,West Virginia,2017,1824
55,Wisconsin,2017,1276
56,Wyoming,2017,1230
