"ID State","State","Event Year","Prescriptions per 1,000 Population"
"0","United States","2019",765
"1","Alabama","2019",1108
"2","Alaska","2019",447
"4","Arizona","2019",670
"5","Arkansas","2019",1028
"6","California","2019",519
"8","Colorado","2019",513
"9","Connecticut","2019",788
"10","Delaware","2019",794
"11","District of Columbia","2019",798
"12","Florida","2019",795
"13","Georgia","2019",836
"15","Hawaii","2019",569
"16","Idaho","2019",625
"17","Illinois","2019",754
"18","Indiana","2019",855
"19","Iowa","2019",861
"20","Kansas","2019",882
"21","Kentucky","2019",1143
"22","Louisiana","2019",1110
"23","Maine","2019",679
"24","Maryland","2019",710
"25","Massachusetts","2019",696
"26","Michigan","2019",816
"27","Minnesota","2019",581
"28","Mississippi","2019",1130
"29","Missouri","2019",798
"30","Montana","2019",589
"31","Nebraska","2019",920
"32","Nevada","2019",654
"33","New Hampshire","2019",688
"34","New Jersey","2019",844
"35","New Mexico","2019",640
"36","New York","2019",853
"37","North Carolina","2019",789
"38","North Dakota","2019",696
"39","Ohio","2019",882
"40","Oklahoma","2019",843
"41","Oregon","2019",491
"42","Pennsylvania","2019",806
"44","Rhode Island","2019",828
"45","South Carolina","2019",874
"46","South Dakota","2019",773
"47","Tennessee","2019",1046
"48","Texas","2019",805
"49","Utah","2019",663
"50","Vermont","2019",606
"51","Virginia","2019",751
"53","Washington","2019",507
"54","West Virginia","2019",1193
"55","Wisconsin","2019",621
"56","Wyoming","2019",738
