"ID State","State","Event Year","Prescriptions per 1,000 Population"
"0","United States","2020",613
"1","Alabama","2020",922
"2","Alaska","2020",348
"4","Arizona","2020",547
"5","Arkansas","2020",844
"6","California","2020",421
"8","Colorado","2020",418
"9","Connecticut","2020",617
"10","Delaware","2020",618
"11","District of Columbia","2020",627
"12","Florida","2020",656
"13","Georgia","2020",682
"15","Hawaii","2020",420
"16","Idaho","2020",506
"17","Illinois","2020",606
"18","Indiana","2020",680
"19","Iowa","2020",665
"20","Kansas","2020",690
"21","Kentucky","2020",887
"22","Louisiana","2020",920
"23","Maine","2020",517
"24","Maryland","2020",562
"25","Massachusetts","2020",548
"26","Michigan","2020",657
"27","Minnesota","2020",455
"28","Mississippi","2020",956
"29","Missouri","2020",644
"30","Montana","2020",459
"31","Nebraska","2020",718
"32","Nevada","2020",538
"33","New Hampshire","2020",543
"34","New Jersey","2020",656
"35","New Mexico","2020",519
"36","New York","2020",675
"37","North Carolina","2020",625
"38","North Dakota","2020",547
"39","Ohio","2020",698
"40","Oklahoma","2020",675
"41","Oregon","2020",398
"42","Pennsylvania","2020",647
"44","Rhode Island","2020",635
"45","South Carolina","2020",700
"46","South Dakota","2020",612
"47","Tennessee","2020",842
"48","Texas","2020",637
"49","Utah","2020",541
"50","Vermont","2020",489
"51","Virginia","2020",591
"53","Washington","2020",397
"54","West Virginia","2020",974
"55","Wisconsin","2020",498
"56","Wyoming","2020",586
