"ID State","State","Event Year","Prescriptions per 1,000 Population"
"0","United States","2021",636
"1","Alabama","2021",985
"2","Alaska","2021",354
"4","Arizona","2021",566
"5","Arkansas","2021",927
"6","California","2021",411
"8","Colorado","2021",425
"9","Connecticut","2021",605
"10","Delaware","2021",619
"11","District of Columbia","2021",673
"12","Florida","2021",721
"13","Georgia","2021",749
"15","Hawaii","2021",392
"16","Idaho","2021",514
"17","Illinois","2021",604
"18","Indiana","2021",701
"19","Iowa","2021",677
"20","Kansas","2021",724
"21","Kentucky","2021",938
"22","Louisiana","2021",1015
"23","Maine","2021",508
"24","Maryland","2021",551
"25","Massachusetts","2021",545
"26","Michigan","2021",675
"27","Minnesota","2021",466
"28","Mississippi","2021",1083
"29","Missouri","2021",675
"30","Montana","2021",472
"31","Nebraska","2021",760
"32","Nevada","2021",540
"33","New Hampshire","2021",538
"34","New Jersey","2021",635
"35","New Mexico","2021",530
"36","New York","2021",666
"37","North Carolina","2021",644
"38","North Dakota","2021",581
"39","Ohio","2021",718
"40","Oklahoma","2021",766
"41","Oregon","2021",387
"42","Pennsylvania","2021",643
"44","Rhode Island","2021",600
"45","South Carolina","2021",765
"46","South Dakota","2021",670
"47","Tennessee","2021",904
"48","Texas","2021",708
"49","Utah","2021",555
"50","Vermont","2021",460
"51","Virginia","2021",592
"53","Washington","2021",389
"54","West Virginia","2021",1022
"55","Wisconsin","2021",502
"56","Wyoming","2021",619
