"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Adult","All","2021","Alabama","1","20","91","21.9%","450718",496764.1,"743205","19","Insufficient Data","Insufficient Data","1.072","Insufficient Data","Insufficient Data","0.989","1.201"
"Adult","All","2021","Alaska","2","5","16","31.2%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Arizona","4","11","78","14.1%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Arkansas","5","24","66","36.3%","482607",481097.7,"727446","24","0.665","0.970","1.070","1.150","1.278","0.984","1.147"
"Adult","All","2021","California","6","109","362","30.1%","3390647",3307234.5,"5160141","109","0.854","0.944","1.025","1.148","1.303","0.984","1.086"
"Adult","All","2021","Colorado","8","46","84","54.7%","837102",971642.6,"1507039","46","0.711","0.780","0.842","0.917","1.032","0.808","0.894"
"Adult","All","2021","Connecticut","9","12","31","38.7%","288858",340608.66,"539580","12","Insufficient Data","Insufficient Data","0.866","Insufficient Data","Insufficient Data","0.763","0.983"
"Adult","All","2021","Delaware","10","4","8","50.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","District of Columbia","11","5","7","71.4%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Florida","12","99","222","44.6%","2871072",3024131,"4781447","99","0.749","0.871","0.979","1.095","1.215","0.942","1.013"
"Adult","All","2021","Georgia","13","56","133","42.1%","1529654",1678915.2,"2668494","56","0.736","0.855","0.945","1.067","1.178","0.892","0.974"
"Adult","All","2021","Hawaii","15","5","20","25.0%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Idaho","16","7","36","19.4%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2021","Illinois","17","36","181","19.8%","919832",956318.7,"1488885","36","0.839","0.879","0.981","1.072","1.159","0.909","1.039"
"Adult","All","2021","Indiana","18","76","121","62.8%","1267508",1352632.1,"2103382","76","0.620","0.871","0.988","1.096","1.272","0.931","1.041"
"Adult","All","2021","Iowa","19","12","103","11.6%","280947",317249,"491952","12","Insufficient Data","Insufficient Data","0.879","Insufficient Data","Insufficient Data","0.852","1.094"
"Adult","All","2021","Kansas","20","19","110","17.2%","250301",279735.28,"431192","19","Insufficient Data","Insufficient Data","0.914","Insufficient Data","Insufficient Data","0.856","0.989"
"Adult","All","2021","Kentucky","21","51","95","53.6%","889091",901910.75,"1390710","51","0.781","0.916","1.032","1.257","1.407","0.965","1.131"
"Adult","All","2021","Louisiana","22","46","111","41.4%","826739",789294.2,"1219283","46","0.797","0.932","1.028","1.186","1.337","0.985","1.114"
"Adult","All","2021","Maine","23","19","28","67.8%","272743",295145.72,"474161","19","Insufficient Data","Insufficient Data","1.047","Insufficient Data","Insufficient Data","0.879","1.199"
"Adult","All","2021","Maryland","24","15","48","31.2%","332061",361345,"585163","15","Insufficient Data","Insufficient Data","0.999","Insufficient Data","Insufficient Data","0.807","1.030"
"Adult","All","2021","Massachusetts","25","24","66","36.3%","650860",726409.3,"1154259","24","0.632","0.712","0.808","0.962","1.072","0.730","0.938"
