"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Adult","All","2023","Alabama","1","23","90","25.5%","519649",504268.12,"786659","23","0.864","0.920","1.028","1.096","1.147","0.927","1.086"
"Adult","All","2023","Alaska","2","7","19","36.8%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","Arizona","4","22","85","25.8%","475020",456892.28,"717190","22","0.511","0.811","0.997","1.139","1.202","0.814","1.139"
"Adult","All","2023","Arkansas","5","37","73","50.6%","711273",686201.56,"1057488","37","0.795","0.965","1.082","1.178","1.515","0.997","1.120"
"Adult","All","2023","California","6","184","361","50.9%","5566721",5131384,"7997617","184","0.903","0.970","1.100","1.235","1.378","1.058","1.141"
"Adult","All","2023","Colorado","8","58","84","69.0%","899178",1010118.94,"1569818","58","0.726","0.821","0.886","0.978","1.124","0.862","0.920"
"Adult","All","2023","Connecticut","9","22","31","70.9%","760753",821976.1,"1308448","22","0.838","0.882","0.919","0.980","1.024","0.904","0.980"
"Adult","All","2023","Delaware","10","3","9","33.3%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","District of Columbia","11","3","7","42.8%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","Florida","12","127","224","56.7%","3700417",3654336.5,"5743429","127","0.833","0.921","0.999","1.107","1.214","0.977","1.033"
"Adult","All","2023","Georgia","13","64","135","47.4%","1839468",1972114,"3142312","64","0.736","0.862","0.960","1.068","1.155","0.925","1.000"
"Adult","All","2023","Hawaii","15","8","19","42.1%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Adult","All","2023","Idaho","16","14","39","35.9%","149232",178952.98,"276348","14","Insufficient Data","Insufficient Data","0.923","Insufficient Data","Insufficient Data","0.835","1.181"
"Adult","All","2023","Illinois","17","64","179","35.7%","1707528",1709707.5,"2666146","64","0.839","0.912","1.013","1.136","1.225","0.971","1.050"
"Adult","All","2023","Indiana","18","86","121","71.0%","1503889",1499624.1,"2345636","86","0.844","0.927","1.039","1.147","1.295","1.005","1.083"
