"SAAR Population","Agent","Event Year","State","ID State","No. of facilities reporting SAARs","No. of facilities eligible to report SAARs","Percentage of eligible facilities reporting","Observed Antimicrobial Days","Predicted Antimicrobial Days","Days Present","No. Facilities Included in Distribution","10th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","Lower Confidence Limit for 50% percentile (median) SAAR value","Upper Confidence Limit for 50% percentile (median) SAAR value"
"Pediatric","All","2021","Alabama","1","4","15","26.6%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Alaska","2","2","4","50.0%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Arizona","4","1","12","8.3%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Arkansas","5","2","7","28.5%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","California","6","32","94","34.0%","189608",200974.83,"367130","32","0.429","0.656","0.914","1.052","1.132","0.760","1.000"
"Pediatric","All","2021","Colorado","8","8","14","57.1%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Connecticut","9","3","6","50.0%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Delaware","10","1","4","25.0%",,,,"1","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","District of Columbia","11","0","3","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Florida","12","13","60","21.6%","82401",84921.4,"154168","12","Insufficient Data","Insufficient Data","0.957","Insufficient Data","Insufficient Data","0.733","1.047"
"Pediatric","All","2021","Georgia","13","10","22","45.4%","21072",22634.07,"45101","10","Insufficient Data","Insufficient Data","0.927","Insufficient Data","Insufficient Data","0.716","1.070"
"Pediatric","All","2021","Hawaii","15","0","3","0.0%",,,,"0","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Idaho","16","2","6","33.3%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Illinois","17","8","49","16.3%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Indiana","18","14","32","43.7%","49858",59680.59,"112627","14","Insufficient Data","Insufficient Data","0.630","Insufficient Data","Insufficient Data","0.456","0.969"
"Pediatric","All","2021","Iowa","19","3","19","15.7%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Kansas","20","4","11","36.3%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Kentucky","21","5","19","26.3%",,,,"5","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Louisiana","22","7","24","29.1%",,,,"7","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Maine","23","2","3","66.6%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Maryland","24","3","21","14.2%",,,,"3","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Massachusetts","25","4","26","15.3%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Michigan","26","6","22","27.2%",,,,"6","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Minnesota","27","8","15","53.3%",,,,"8","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Mississippi","28","2","14","14.2%",,,,"2","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Missouri","29","10","17","58.8%",,,,"9","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
"Pediatric","All","2021","Montana","30","4","5","80.0%",,,,"4","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data",,
